date,source,station_id,tmp_avg_c,tmp_max_c,tmp_min_c,rh_avg_pct,sol_rad_avg_wm2,wind_spd_avg_ms,wind_max_ms,wind_run_km,precip_mm,eto_mm,tmp_avg_7d,tmp_avg_14d,tmp_max_7d,wind_spd_7d,wind_spd_14d,wind_run_7d,sol_rad_7d,sol_rad_14d,precip_7d,precip_14d,eto_7d,rh_avg_7d,calm_days_7d
2017-01-25,Open-Meteo (Clear Lake coords),OM-CL,4.1,10.3,-0.7,83.0,118.87,1.333,2.139,115.17,0.2,1.28,5.0714,5.5571,8.9,2.3531,1.8453,1423.18,99.1243,95.6193,89.7,137.9,7.04,89.2857,4
2017-01-26,Open-Meteo (Clear Lake coords),OM-CL,5.7,12.4,1.9,83.0,138.77,0.944,2.0,81.56,0.0,1.51,5.0571,5.6357,9.3857,2.2103,1.8433,1336.78,105.4571,102.1336,85.2,132.1,7.62,88.0,4
2017-01-27,Open-Meteo (Clear Lake coords),OM-CL,6.3,14.2,0.7,77.0,144.33,1.333,2.417,115.17,0.0,1.66,5.1571,5.6929,10.3429,1.9126,1.875,1156.72,115.4271,104.5143,44.8,132.1,8.58,85.4286,5
2017-01-28,Open-Meteo (Clear Lake coords),OM-CL,6.8,16.4,0.3,77.0,143.75,1.25,2.139,108.0,0.0,1.75,5.2571,5.7571,11.3571,1.5396,1.9107,931.13,123.9257,106.0521,33.1,132.1,9.43,83.5714,6
2017-01-29,Open-Meteo (Clear Lake coords),OM-CL,8.9,16.3,2.4,73.0,138.54,0.972,1.889,83.98,0.0,1.67,5.8286,5.9429,12.4571,1.3411,1.8889,811.12,131.7629,107.4407,2.9,132.1,10.21,80.8571,7
2017-01-30,Open-Meteo (Clear Lake coords),OM-CL,11.2,18.2,5.2,57.0,148.61,0.889,1.75,76.81,0.0,1.92,6.8429,6.2071,13.9857,1.23,1.8769,743.9,137.12,109.5243,0.8,132.0,11.13,76.1429,7
2017-01-31,Open-Meteo (Clear Lake coords),OM-CL,7.8,16.1,1.0,71.0,117.01,1.528,1.944,132.02,0.0,1.55,7.2571,6.3143,14.8429,1.1784,1.869,712.71,135.6971,110.4,0.2,131.7,11.34,74.4286,7
2017-02-01,Open-Meteo (Clear Lake coords),OM-CL,6.5,11.8,2.3,76.0,62.73,2.056,2.556,177.64,0.0,0.94,7.6,6.3357,15.0571,1.2817,1.8174,775.18,127.6771,113.4007,0.0,89.7,11.0,73.4286,6
2017-02-02,Open-Meteo (Clear Lake coords),OM-CL,6.9,9.0,3.3,94.0,25.35,2.861,4.25,247.19,15.7,0.39,7.7714,6.4143,14.5714,1.5556,1.8829,940.81,111.4743,108.4657,15.7,100.9,9.88,75.0,5
2017-02-03,Open-Meteo (Clear Lake coords),OM-CL,9.7,11.9,8.5,96.0,60.53,3.306,5.722,285.64,16.7,0.65,8.2571,6.7071,14.2429,1.8374,1.875,1111.28,99.5029,107.465,32.4,77.2,8.87,77.7143,4
2017-02-04,Open-Meteo (Clear Lake coords),OM-CL,9.2,11.9,7.4,92.0,79.4,1.444,3.167,124.76,8.2,0.96,8.6,6.9286,13.6,1.8651,1.7024,1128.04,90.31,107.1179,40.6,73.7,8.08,79.8571,4
2017-02-05,Open-Meteo (Clear Lake coords),OM-CL,9.1,12.4,7.5,92.0,54.05,2.389,5.222,206.41,14.5,0.77,8.6286,7.2286,13.0429,2.0676,1.7044,1250.47,78.24,105.0014,55.1,58.0,7.18,82.5714,3
2017-02-06,Open-Meteo (Clear Lake coords),OM-CL,9.6,11.2,8.5,92.0,46.06,3.0,4.389,259.2,8.9,0.69,8.4,7.6214,12.0429,2.3691,1.7996,1432.86,63.59,100.355,64.0,64.8,5.95,87.5714,2
2017-02-07,Open-Meteo (Clear Lake coords),OM-CL,11.2,12.6,8.2,93.0,51.62,3.778,6.528,326.42,22.8,0.65,8.8857,8.0714,11.5429,2.6906,1.9345,1627.26,54.2486,94.9729,86.8,87.0,5.05,90.7143,1
2017-02-08,Open-Meteo (Clear Lake coords),OM-CL,11.6,14.2,8.0,96.0,30.56,1.333,2.417,115.17,11.9,0.47,9.6143,8.6071,11.8857,2.5873,1.9345,1564.79,49.6529,88.665,98.7,98.7,4.58,93.5714,2
2017-02-09,Open-Meteo (Clear Lake coords),OM-CL,11.3,12.5,9.7,98.0,17.25,2.611,4.5,225.59,28.1,0.32,10.2429,9.0071,12.3857,2.5516,2.0536,1543.19,48.4957,79.985,111.1,126.8,4.51,94.1429,2
2017-02-10,Open-Meteo (Clear Lake coords),OM-CL,9.4,13.5,5.8,84.0,140.97,2.889,4.5,249.61,0.2,1.73,10.2,9.2286,12.6143,2.492,2.1647,1507.16,59.9871,79.745,94.6,127.0,5.59,92.4286,2
2017-02-11,Open-Meteo (Clear Lake coords),OM-CL,8.5,16.6,3.7,75.0,162.73,1.861,2.806,160.79,0.0,2.07,10.1,9.35,13.2857,2.5516,2.2084,1543.19,71.8914,81.1007,86.4,127.0,6.7,90.0,2
2017-02-12,Open-Meteo (Clear Lake coords),OM-CL,10.2,17.9,3.7,65.0,173.38,0.944,1.639,81.56,0.0,2.26,10.2571,9.4429,14.0714,2.3451,2.2064,1418.34,88.9386,83.5893,71.9,127.0,8.19,86.1429,3
2017-02-13,Open-Meteo (Clear Lake coords),OM-CL,10.3,16.0,6.4,70.0,126.5,1.056,2.444,91.24,0.0,1.74,10.3571,9.3786,14.7571,2.0674,2.2183,1250.38,100.43,82.01,63.0,127.0,9.24,83.0,4
2017-02-14,Open-Meteo (Clear Lake coords),OM-CL,12.0,18.6,6.9,64.0,166.78,1.056,2.417,91.24,0.0,2.3,10.4714,9.6786,15.6143,1.6786,2.1846,1015.2,116.8814,85.565,40.2,127.0,10.89,78.8571,5
2017-02-15,Open-Meteo (Clear Lake coords),OM-CL,11.7,15.0,9.3,70.0,76.97,1.778,2.972,153.62,2.0,1.26,10.4857,10.05,15.7286,1.7421,2.1647,1053.65,123.5114,86.5821,30.3,129.0,11.68,75.1429,5
2017-02-16,Open-Meteo (Clear Lake coords),OM-CL,10.2,13.0,5.8,82.0,130.9,3.333,6.167,287.97,17.2,1.5,10.3286,10.2857,15.8,1.8453,2.1984,1116.03,139.7471,94.1214,19.4,130.5,12.86,72.8571,5
2017-02-17,Open-Meteo (Clear Lake coords),OM-CL,7.7,9.0,6.7,93.0,22.69,4.111,7.694,355.19,34.6,0.29,10.0857,10.1429,15.1571,2.0199,2.2559,1221.61,122.85,91.4186,53.8,148.4,11.42,74.1429,5
2017-02-18,Open-Meteo (Clear Lake coords),OM-CL,8.2,11.2,5.3,84.0,109.95,3.583,5.361,309.57,7.9,1.37,10.0429,10.0714,14.3857,2.2659,2.4087,1370.39,115.31,93.6007,61.7,148.1,10.72,75.4286,4
2017-02-19,Open-Meteo (Clear Lake coords),OM-CL,7.7,10.5,5.6,90.0,46.64,2.722,4.306,235.18,4.0,0.68,9.6857,9.9714,13.3286,2.5199,2.4325,1524.01,97.2043,93.0714,65.7,137.6,9.14,79.0,3
2017-02-20,Open-Meteo (Clear Lake coords),OM-CL,9.6,11.2,8.3,98.0,33.22,3.0,5.75,259.2,27.8,0.46,9.5857,9.9714,12.6429,2.7976,2.4325,1691.97,83.8786,92.1543,93.5,156.5,7.86,83.0,2
2017-02-21,Open-Meteo (Clear Lake coords),OM-CL,8.0,9.9,5.7,87.0,129.17,3.722,6.306,321.58,9.0,1.34,9.0143,9.7429,11.4,3.1784,2.4285,1922.31,78.5057,97.6936,102.5,142.7,6.9,86.2857,1
2017-02-22,Open-Meteo (Clear Lake coords),OM-CL,4.9,8.5,1.0,80.0,171.76,3.611,6.222,311.99,0.2,1.64,8.0429,9.2643,10.4714,3.4403,2.5912,2080.68,92.0471,107.7793,100.7,131.0,7.28,87.7143,0
2017-02-23,Open-Meteo (Clear Lake coords),OM-CL,4.1,9.5,0.4,74.0,198.73,2.389,4.25,206.41,0.0,2.05,7.1714,8.75,9.9714,3.3054,2.5754,1999.12,101.7371,120.7421,83.5,102.9,7.83,86.5714,0
2017-02-24,Open-Meteo (Clear Lake coords),OM-CL,4.5,9.0,0.3,74.0,185.53,1.694,3.806,146.36,0.0,1.96,6.7143,8.4,9.9714,2.9601,2.49,1790.29,125.0,123.925,48.9,102.7,9.5,83.8571,1
2017-02-25,Open-Meteo (Clear Lake coords),OM-CL,5.0,9.8,1.8,75.0,161.46,1.667,2.861,144.03,0.0,1.76,6.2571,8.15,9.7714,2.6864,2.4761,1624.75,132.3586,123.8343,41.0,102.7,9.89,82.5714,2
