date,bloom_report_id,case_id,advisory_level,advisory_rank,advisory_active,advisory_detail,bloom_size,bloom_texture,bloom_location,lat,lon,lab_data_linked,has_pictures,county
2020-01-09,2147,429,,0,1,Advisory based on visual and toxins,,,,39.042359,-122.91287,NO,No,Lake
2020-01-09,2148,429,,0,1,Advisory based on visual and toxins,,,,39.121277,-122.85554,NO,No,Lake
2020-01-09,2149,429,,0,1,Testing results below posting triggers,,,,39.089696,-122.79611,NO,No,Lake
2020-01-09,2150,429,,0,1,Advisory based on visual and toxins,,,,39.01929,-122.67514,NO,No,Lake
2020-01-09,2151,429,,0,1,Advisory based on visual and toxins,,,,39.0094,-122.67383,NO,No,Lake
2020-01-09,2152,429,,0,1,Advisory based on visual and toxins,,,,38.95983,-122.65027,NO,No,Lake
2020-01-09,2153,429,,0,1,Advisory based on visual and toxins,,,,38.925467,-122.61659,NO,No,Lake
2020-01-09,2154,429,,0,1,Advisory based on visual and toxins,,,,38.99986,-122.6712,NO,No,Lake
2020-01-09,2155,429,,0,1,Advisory based on visual and toxins,,,,38.948472,-122.63778,NO,No,Lake
2020-01-09,2156,429,,0,1,Advisory based on visual and toxins,,,,39.118142,-122.88643,NO,No,Lake
2020-01-09,2157,429,,0,1,Advisory based on visual and toxins,,,,39.063888,-122.91361,NO,No,Lake
2020-01-09,2158,429,,0,1,Advisory based on visual and toxins,,,,39.011864,-122.76051,NO,No,Lake
2020-01-09,2159,429,,0,1,Advisory based on visual and toxins,,,,39.026636,-122.7348,NO,No,Lake
2020-01-09,2160,429,,0,1,Advisory based on visual and toxins,,,,38.948856,-122.66023,NO,No,Lake
2020-01-09,2161,429,,0,1,Testing results below posting triggers,,,,39.0250735,-122.65978,NO,No,Lake
2020-01-09,2162,429,,0,1,Advisory based on visual and toxins,,,,39.0239133,-122.67175,NO,No,Lake
2020-01-09,2163,429,,0,1,Testing results below posting triggers,,,,39.0219353,-122.66717,NO,No,Lake
2020-01-09,2164,429,,0,1,Advisory based on visual and toxins,,,,38.981029,-122.68986,NO,No,Lake
2020-01-09,2165,429,,0,1,Advisory based on visual and toxins,,,,39.0632,-122.86611,NO,No,Lake
2020-01-09,2166,429,,0,1,Advisory based on visual and toxins,,,,38.9643,-122.67888,NO,No,Lake
2020-01-09,2167,429,,0,1,Advisory based on visual and toxins,,,,39.0116,-122.69611,NO,Yes,Lake
2020-01-09,2168,429,None,0,1,,,,,39.1149,-122.88277,NO,No,Lake
2020-01-09,2169,429,None,0,0,,,,,39.024,-122.788,NO,No,Lake
2020-01-09,2170,429,None,0,0,,,,,39.061,-122.817,NO,No,Lake
2020-01-09,2171,429,None,0,0,,,,,39.061,-122.873,NO,No,Lake
2020-01-09,2172,429,None,0,0,,,,,39.094,-122.847,NO,No,Lake
2020-01-09,2173,429,,0,1,Testing results below posting triggers,,,,39.028,-122.745,NO,No,Lake
2020-01-09,2174,429,,0,1,Advisory based on visual and toxins,,,,39.0127,-122.699,NO,No,Lake
2020-01-09,2175,429,,0,1,Testing results below posting triggers,,,,38.983,-122.717,NO,No,Lake
2020-06-04,2271,429,,0,0,,,,,39.067543,-122.91262,NO,Yes,Lake
2020-06-08,2272,429,,0,0,,between a football field and a tennis court,,,39.025325,-122.74843,NO,No,Lake
2020-06-25,2288,429,,0,1,visual monitoring based advisory,,,,39.020729,-122.66248,NO,No,Lake
2020-07-11,2303,429,,0,1,Advisory based on visual and toxins,,,,38.939925,-122.63523,NO,Yes,Lake
2020-07-14,2306,429,,0,1,Advisory based on visual and toxins,larger than a football field,,,38.97102,-122.66844,NO,Yes,Lake
2020-07-14,2304,429,,0,0,,,,,38.969358,-122.65884,NO,No,Lake
2020-08-18,2375,429,,0,0,,,,,38.932221,-122.63085,NO,No,Lake
2021-01-14,2533,615,,0,1,Advisory based on visual and toxins,,,,38.95983,-122.65027,NO,No,Lake
2021-01-14,2534,615,,0,1,Advisory based on visual and toxins,,,,39.000958,-122.75073,NO,No,Lake
2021-01-14,2535,615,,0,1,Testing results below posting triggers,,,,39.026872,-122.88674,NO,No,Lake
2021-01-14,2536,615,,0,1,Testing results below posting triggers,,,,38.9643,-122.67888,NO,No,Lake
2021-01-14,2537,615,,0,1,Testing results below posting triggers,,,,39.0116,-122.69611,NO,No,Lake
2021-01-14,2538,615,,0,1,Advisory based on visual and toxins,,,,39.01929,-122.67514,NO,No,Lake
2021-01-14,2539,615,,0,1,Advisory based on visual and toxins,,,,39.003128,-122.79816,NO,No,Lake
2021-01-14,2540,615,,0,1,Advisory based on visual and toxins,,,,39.0094,-122.67383,NO,No,Lake
2021-01-14,2541,615,,0,1,Advisory based on visual and toxins,,,,39.0239133,-122.67175,NO,No,Lake
2021-01-14,2542,615,,0,1,Advisory based on visual and toxins,,,,38.981029,-122.68986,NO,No,Lake
2021-01-14,2543,615,,0,1,Advisory based on visual and toxins,,,,38.948472,-122.63778,NO,No,Lake
2021-01-14,2544,615,,0,1,Advisory based on visual and toxins,,,,38.925467,-122.61659,NO,No,Lake
2021-01-15,2566,615,,0,0,,,,,39.024,-122.788,NO,No,Lake
2021-01-15,2567,615,,0,0,,,,,39.061,-122.817,NO,No,Lake
2021-01-15,2568,615,,0,0,,,,,39.061,-122.873,NO,No,Lake
2021-01-15,2569,615,,0,0,,,,,39.094,-122.847,NO,No,Lake
2021-01-15,2549,615,,0,0,,,,,39.1149,-122.88277,NO,No,Lake
2021-01-15,2550,615,,0,0,,,,,39.0287,-122.84863,NO,No,Lake
2021-01-15,2551,615,,0,0,,,,,39.026636,-122.7348,NO,No,Lake
2021-01-15,2552,615,,0,0,,,,,39.011864,-122.76051,NO,No,Lake
2021-01-15,2553,615,,0,1,Advisory based on visual and toxins,,,,38.948856,-122.66023,NO,No,Lake
2021-01-15,2554,615,,0,0,,,,,39.0250735,-122.65978,NO,No,Lake
2021-01-15,2555,615,,0,1,Advisory based on visual and toxins,,,,39.121277,-122.85554,NO,No,Lake
2021-01-15,2556,615,,0,0,,,,,38.983,-122.717,NO,No,Lake
2021-01-15,2557,615,,0,1,Testing results below posting triggers,,,,39.042359,-122.91287,NO,No,Lake
2021-01-15,2558,615,,0,0,,,,,39.063888,-122.91361,NO,No,Lake
2021-01-15,2559,615,,0,1,Testing results below posting triggers,,,,39.089696,-122.79611,NO,No,Lake
2021-01-15,2560,615,,0,0,,,,,39.028,-122.745,NO,No,Lake
2021-01-15,2561,615,,0,0,,,,,39.0127,-122.699,NO,No,Lake
2021-01-15,2562,615,,0,1,Advisory based on visual and toxins,,,,39.118142,-122.88643,NO,No,Lake
2021-01-15,2563,615,,0,1,Advisory based on visual and toxins,,,,38.99986,-122.6712,NO,No,Lake
2021-01-15,2564,615,,0,0,,,,,39.0219353,-122.66717,NO,No,Lake
2021-05-12,2691,615,,0,1,Advisory based on visual and toxins,,,,38.978928,-122.69898,NO,No,Lake
2021-06-26,2874,615,,0,0,,larger than a football field,,,39.0166716,-122.66551,NO,No,Lake
2021-07-11,2866,615,,0,1,visual monitoring based advisory,larger than a football field,,,39.008584,-122.76369,NO,No,Lake
2021-07-14,2867,615,,0,0,,larger than a football field,,,39.0201132,-122.68291,NO,No,Lake
2021-07-15,2880,615,,0,0,,larger than a football field,,,39.020984,-122.67378,NO,Yes,Lake
2021-07-20,2892,615,,0,0,,larger than a football field,,,39.003879,-122.7888,NO,No,Lake
2021-08-11,3002,615,,0,1,Advisory based on visual and toxins,,,,39.06618,-122.86504,NO,No,Lake
2021-09-01,3069,615,,0,0,,smaller than a sedan,,,39.0499323,-122.91228,NO,No,Lake
2022-02-21,3233,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.089696,-122.79611,NO,No,Lake
2022-02-21,3234,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.95983,-122.65027,NO,No,Lake
2022-02-21,3236,859,,0,1,Updates from routine monitoring program-organization; visual monitoring based advisory,,,,39.000958,-122.75073,NO,No,Lake
2022-02-21,3238,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.01929,-122.67514,NO,No,Lake
2022-02-21,3239,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.0094,-122.67383,NO,No,Lake
2022-02-21,3240,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.121277,-122.85554,NO,No,Lake
2022-02-21,3241,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.042359,-122.91287,NO,No,Lake
2022-02-21,3242,859,,0,1,Updates from routine monitoring program-organization; visual monitoring based advisory,,,,38.948472,-122.63778,NO,No,Lake
2022-02-21,3243,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.0632,-122.86611,NO,No,Lake
2022-02-21,3244,859,,0,1,Updates from routine monitoring program-organization,,,,39.094,-122.847,NO,No,Lake
2022-02-21,3245,859,,0,1,Updates from routine monitoring program-organization,,,,39.061,-122.817,NO,No,Lake
2022-02-21,3246,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization; visual monitoring based advisory,,,,39.0116,-122.69611,NO,No,Lake
2022-02-21,3247,859,,0,1,Updates from routine monitoring program-organization,,,,39.028,-122.745,NO,No,Lake
2022-02-21,3248,859,,0,1,Updates from routine monitoring program-organization,,,,39.024,-122.788,NO,No,Lake
2022-02-21,3249,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.0127,-122.699,NO,No,Lake
2022-02-21,3250,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.9643,-122.67888,NO,No,Lake
2022-02-21,3251,859,,0,1,Updates from routine monitoring program-organization,,,,38.983,-122.717,NO,No,Lake
2022-05-04,3295,859,,0,1,Advisory based on visual and toxins; Suspected illness reported; Updates from routine monitoring program-organization,,,,38.948856,-122.66023,NO,No,Lake
2022-05-10,3316,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.925467,-122.61659,NO,No,Lake
2022-05-10,3317,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.026636,-122.7348,NO,No,Lake
2022-05-10,3318,859,,0,1,Updates from routine monitoring program-organization; visual monitoring based advisory,,,,39.011864,-122.76051,NO,No,Lake
2022-05-10,3319,859,,0,1,Updates from routine monitoring program-organization; visual monitoring based advisory,,,,39.0287,-122.84863,NO,No,Lake
2022-05-10,3320,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.0239133,-122.67175,NO,No,Lake
2022-05-10,3321,859,,0,1,Suspected illness reported; Updates from routine monitoring program-organization,,,,39.003128,-122.79816,NO,No,Lake
2022-05-10,3322,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.118142,-122.88643,NO,No,Lake
2022-05-10,3323,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.99986,-122.6712,NO,No,Lake
